trajectory_id,embedding_type,path_length,mean_curvature,max_curvature,min_curvature,std_curvature,median_curvature,num_points,num_curvature_points
0,PCA,4.549902439117432,9719.7141466543,77370.65373641899,13.09709097466519,25569.694982108267,43.93632358840994,10,8
1,PCA,8.62360954284668,18726.686443811308,149397.27900484766,18.803233380936955,49388.85388777979,73.0560439150322,10,8
2,PCA,8.410245895385742,8689.705581795766,69243.09134087694,10.930249654242584,22887.042804598917,41.56252960286247,10,8
3,PCA,5.035661220550537,1182.5377853355167,9333.48820912464,1.452134358952281,3080.8206027539013,14.719889360422492,10,8
4,PCA,8.957331657409668,7702.353694561051,61287.52917195683,7.535475144593006,20253.31413629809,59.93656017725907,10,8
5,PCA,9.184347152709961,581.1899021333513,4582.152314572061,1.2536037108628733,1512.2484926774598,7.1273761727556835,10,8
6,PCA,12.732142448425293,13697.336663264185,109302.74983413302,3.576044450109058,36135.46808543191,32.622333117204256,10,8
7,PCA,4.821687698364258,992.3930201858259,7826.8012194909525,1.6235385252706669,2583.212523791987,12.57722440253179,10,8
8,PCA,2.843580961227417,1395.0905838882672,11045.759917731217,0.5901623223119781,3647.6494532165843,13.23913296406093,10,8
9,PCA,1.7833352088928223,124.7320455890491,923.178570687613,0.9773253507687786,301.98163730216413,7.86081434255314,10,8
10,PCA,0.9888531565666199,282.8496391737185,2142.324315574549,0.882193602717308,703.0586037530608,12.573232834725305,10,8
11,PCA,2.4629642963409424,5734.016109535138,45408.63269157258,13.391569675520932,14995.674373670228,71.04312714331218,10,8
12,PCA,6.973942279815674,242.52837274045314,1900.3738807929944,0.7568107612153864,626.6301996873694,4.1816008155244475,10,8
13,PCA,2.5337471961975098,25478.95320175762,202586.78437019137,30.25170559309293,66940.60159715878,195.96977975918583,10,8
14,PCA,4.936249256134033,1146.8340163731257,9085.579847643918,2.430123021394482,3000.5885672469713,9.177125997318287,10,8
15,PCA,4.0253496170043945,2706.3387798377735,21483.680230985017,7.835013874137203,7097.1837613034795,24.2804244967898,10,8
16,PCA,3.2416844367980957,2289.6973963244322,18154.21534018577,3.7307810708087947,5996.254764753802,24.66031083845072,10,8
17,PCA,5.387445449829102,5158.374172752006,41053.93505726768,4.848934677698999,13567.261039572404,35.394621405093076,10,8
