trajectory_id,embedding_type,point_index,curvature
0,PCA,1,77370.65373641899
0,PCA,2,20.736632638546933
0,PCA,3,13.09709097466519
0,PCA,4,15.238884058220517
0,PCA,5,31.39975129582756
0,PCA,6,56.472895880992326
0,PCA,7,87.57699442596054
0,PCA,8,162.53718754120405
1,PCA,1,149397.27900484766
1,PCA,2,19.69201498462902
1,PCA,3,18.803233380936955
1,PCA,4,20.955634856840426
1,PCA,5,60.17709563993252
1,PCA,6,109.8442434077858
1,PCA,7,100.80533118251641
1,PCA,8,85.93499219013188
2,PCA,1,69243.09134087694
2,PCA,2,10.930249654242584
2,PCA,3,14.819670583634279
2,PCA,4,13.576692192341682
2,PCA,5,26.670135282119904
2,PCA,6,56.45492392360503
2,PCA,7,77.41698609469813
2,PCA,8,74.6846557585452
3,PCA,1,9333.48820912464
3,PCA,2,1.8380422853546545
3,PCA,3,1.452134358952281
3,PCA,4,3.8646217492719503
3,PCA,5,9.853220364504997
3,PCA,6,19.586558356339985
3,PCA,7,34.2347645368155
3,PCA,8,55.984731908253494
4,PCA,1,61287.52917195683
4,PCA,2,7.535475144593006
4,PCA,3,9.931203328371723
4,PCA,4,22.85690525067917
4,PCA,5,51.17177880223832
4,PCA,6,84.84340819361027
4,PCA,7,86.2602722598159
4,PCA,8,68.70134155227981
5,PCA,1,4582.152314572061
5,PCA,2,1.2536037108628733
5,PCA,3,2.358800897603303
5,PCA,4,4.30176692639803
5,PCA,5,6.10584176952044
5,PCA,6,8.148910575990927
5,PCA,7,14.024075524460043
5,PCA,8,31.173903089914095
6,PCA,1,109302.74983413302
6,PCA,2,3.576044450109058
6,PCA,3,5.5629926990230665
6,PCA,4,9.335682196919088
6,PCA,5,20.31962624649317
6,PCA,6,44.92503998791535
6,PCA,7,79.91063244181505
6,PCA,8,112.31345395818522
7,PCA,1,7826.8012194909525
7,PCA,2,1.7301408532408262
7,PCA,3,1.6235385252706669
7,PCA,4,3.124698051010763
7,PCA,5,8.077302831448264
7,PCA,6,17.077145973615316
7,PCA,7,30.351529550591696
7,PCA,8,50.358586210476226
8,PCA,1,11045.759917731217
8,PCA,2,1.591426933438961
8,PCA,3,0.5901623223119781
8,PCA,4,3.169274702281817
8,PCA,5,9.066894309017648
8,PCA,6,17.411371619104212
8,PCA,7,28.76252634771945
8,PCA,8,54.3730971410473
9,PCA,1,923.178570687613
9,PCA,2,0.9773253507687786
9,PCA,3,1.323346838902316
9,PCA,4,2.4361836955891816
9,PCA,5,5.305765477711828
9,PCA,6,10.415863207394452
9,PCA,7,18.920734647036788
9,PCA,8,35.29857480737636
